time,total
1,1459.646483
2,1427.204363
3,1419.404979
4,1421.811172
5,1451.598183
6,1533.242802
7,1758.180365
8,2058.871523
9,2232.03445
10,2281.900727
11,2339.981249
12,2352.510047
13,2263.231988
14,2281.071005
15,2240.248696
16,2128.56815
17,2058.041802
18,2140.101282
19,2089.405283
20,1973.161268
21,1854.096198
22,1774.857772
23,1729.803882
24,1623.184638
25,1507.355483
26,1458.650817
27,1421.064423
28,1416.832842
29,1428.034085
30,1484.040303
31,1716.030501
32,2007.345803
33,2143.918002
34,2197.766943
35,2243.152722
36,2245.144054
37,2206.727937
38,2228.715563
39,2184.740311
40,2098.947083
41,2059.286384
42,2139.188588
43,2091.147699
44,1961.379219
45,1873.428715
46,1802.570478
47,1745.236706
48,1633.307243
49,1524.364779
50,1473.25392
51,1452.593849
52,1465.537508
53,1463.463203
54,1524.447751
55,1742.415652
56,2055.30372
57,2224.318038
58,2318.740372
59,2385.45
60,2364.541012
61,2319.155233
62,2328.1992
63,2269.703817
64,2168.145877
65,2113.633158
66,2162.752685
67,2101.270304
68,2001.12289
69,1920.142049
70,1823.147577
71,1769.713497
72,1656.290536
73,1560.540647
74,1510.176537
75,1482.546803
76,1483.874358
77,1499.22421
78,1567.593282
79,1780.333936
80,2069.160073
81,2251.366967
82,2335.83264
83,2364.623984
84,2330.605393
85,2323.303842
86,2346.619023
87,2294.429525
88,2160.26352
89,2095.047391
90,2184.408423
91,2127.572483
92,2007.760664
93,1879.568656
94,1799.58348
95,1727.978494
96,1637.870713
97,1572.156751
98,1515.901617
99,1497.647739
100,1490.346188
101,1486.280551
102,1527.683666
103,1716.611306
104,1945.116673
105,2091.645532
106,2146.573111
107,2191.129169
108,2150.555776
109,2067.583602
110,1986.104927
111,1912.010776
112,1833.270183
113,1816.75872
114,1890.520983
115,1838.663374
116,1711.881892
117,1625.756776
118,1549.920209
119,1521.70967
120,1457.074346
121,1347.882965
122,1275.365285
123,1262.58757
124,1256.613574
125,1215.127487
126,1222.677955
127,1293.951052
128,1423.885477
129,1562.780896
130,1646.001986
131,1680.186522
132,1672.88497
133,1644.591459
134,1618.372252
135,1603.935094
136,1591.57224
137,1594.061405
138,1690.143183
139,1701.842259
140,1615.468226
141,1543.282435
142,1476.987668
143,1445.126353
144,1370.20248
145,1289.138666
146,1225.499009
147,1195.214165
148,1197.039553
149,1186.170198
150,1171.816012
151,1220.354734
152,1327.720727
153,1468.607478
154,1569.501642
155,1618.206308
156,1627.08433
157,1607.336953
158,1583.19205
159,1562.449007
160,1555.147456
161,1590.244685
162,1719.930193
163,1736.192739
164,1647.910346
165,1574.894833
166,1521.626697
167,1490.926993
168,1401.48299
