ID,name,country,origin,latitude,longitude,status,primaryfuel,secondaryfuel,capacity,lincost,cyclecost,minuptime,mindowntime,minonlinecapacity,rampingup,rampingdown,fixedomcost,varomcost,levcapcost,capacityold,lincostold,age
AlmarazNuclearPowerPlantSpain,AlmarazNuclearPowerPlantSpain,ESP,n162,39.80705251,-5.698599815,Online,Nuclear,Unknown,1957.0,12.46483144,587100.0,24,24,391.4,0.33,0.33,122936,0.0,0.3,1957.0,12.46483144,old
AramonOilPowerPlantFrance,AramonOilPowerPlantFrance,FRA,n486,43.88007762,4.6547698969999995,Online,Oil,Unknown,0.0,123.11357779999999,77000.0,2,4,560.0,1.0,1.0,32151,2.7,0.06,1400.0,123.11357779999999,old
ArgentatHydroelectricGeneratingStation,ArgentatHydroelectricGeneratingStation,FRA,n457,45.104,1.954,Online,Hydro,Unknown,0.0,6.699853325,204.25,0,0,4.75,1.0,1.0,14520,5.8,0.16,47.5,6.699853325,old
AscoNuclearPowerPlantSpain,AscoNuclearPowerPlantSpain,ESP,n124,41.20084078,0.5679416660000001,Online,Nuclear,Unknown,0.0,12.47660942,618000.0,24,24,412.0,0.33,0.33,122936,0.0,0.3,2060.0,12.47660942,old
BellevilleNuclearPowerPlantFrance,BellevilleNuclearPowerPlantFrance,FRA,n357,47.51165759,2.874155446,Online,Nuclear,Unknown,2726.0,12.55184571,817800.0,24,24,545.2,0.33,0.33,122936,0.0,0.3,2726.0,12.55184571,old
BeznauNuclearPowerPlantSwitzerland,BeznauNuclearPowerPlantSwitzerland,CHE,n990,47.55181029,8.228180408,Online,Nuclear,Unknown,0.0,11.4197581,228000.0,24,24,152.0,0.33,0.33,122936,0.0,0.3,760.0,11.4197581,old
BiblisNuclearPowerPlantGermany,BiblisNuclearPowerPlantGermany,DEU,n932,49.71088311,8.414754868,Online,Nuclear,Unknown,2525.0,10.79422034,757500.0,24,24,505.0,0.33,0.33,122936,0.0,0.3,2525.0,10.79422034,old
BlayaisNuclearPowerPlantFrance,BlayaisNuclearPowerPlantFrance,FRA,n451,45.25600579,-0.69319948,Online,Nuclear,Unknown,3640.0,11.77918143,1092000.0,24,24,728.0,0.33,0.33,122936,0.0,0.3,3640.0,11.77918143,old
BlénodThermalPowerPlantFrance,BlénodThermalPowerPlantFrance,FRA,n278,48.8684,6.08024,Online,Coal,Unknown,0.0,36.35351237,48750.0,8,8,150.0,0.4,0.4,61301,2.1,0.12,750.0,36.35351237,old
BohuniceNuclearPowerPlantSlovakia,BohuniceNuclearPowerPlantSlovakia,SVK,n1215,48.49601852,17.68159024,Online,Nuclear,Unknown,0.0,10.85434916,264000.0,24,24,176.0,0.33,0.33,122936,0.0,0.3,880.0,10.85434916,old
BorsseleNuclearPowerPlantNetherlands,BorsseleNuclearPowerPlantNetherlands,NLD,n536,51.43114367,3.717455145,Online,Nuclear,Unknown,515.0,12.11542813,154500.0,24,24,103.0,0.33,0.33,122936,0.0,0.3,515.0,12.11542813,old
BouchainCoalPowerPlantFrance,BouchainCoalPowerPlantFrance,FRA,n224,50.29641285,3.315854073,Online,Coal,Unknown,0.0,39.91992742,16250.0,8,8,50.0,0.4,0.4,61301,2.1,0.12,250.0,39.91992742,old
BrennilisCombustionGasPowerPlantFrance,BrennilisCombustionGasPowerPlantFrance,FRA,n307,48.35679442,-3.870658278,Online,Gas,Unknown,0.0,58.24297206,16225.0,2,4,118.0,1.0,1.0,32151,2.7,0.06,295.0,58.24297206,old
BrokdorfNuclearPowerPlantGermany,BrokdorfNuclearPowerPlantGermany,DEU,n783,53.85090974,9.344844267000001,Online,Nuclear,Unknown,1440.0,11.24121027,432000.0,24,24,288.0,0.33,0.33,122936,0.0,0.3,1440.0,11.24121027,old
BrunsbuettelNuclearPowerPlantGermany,BrunsbuettelNuclearPowerPlantGermany,DEU,n785,53.89176408,9.202560934,Online,Nuclear,Unknown,806.0,11.15077135,241800.0,24,24,161.2,0.33,0.33,122936,0.0,0.3,806.0,11.15077135,old
BugeyNuclearPowerPlantFrance,BugeyNuclearPowerPlantFrance,FRA,n418,45.79731813,5.27061189,Online,Nuclear,Unknown,3724.0,12.67379666,1117200.0,24,24,744.8,0.33,0.33,122936,0.0,0.3,3724.0,12.67379666,old
A2ACassanod'AddaGasCCGTItaly,A2ACassanod'AddaGasCCGTItaly,ITA,n662,45.512,9.509,Online,Gas,Unknown,1000.0,52.2597656,55000.0,2,4,400.0,1.0,1.0,32151,2.7,0.06,1000.0,52.2597656,old
CattenomNuclearPowerPlantFrance,CattenomNuclearPowerPlantFrance,FRA,n244,49.41604534,6.216942304,Online,Nuclear,Unknown,5448.0,11.94337276,1634400.0,24,24,1089.6,0.33,0.33,122936,0.0,0.3,5448.0,11.94337276,old
CentraledeLucyCoalPowerStationFrance,CentraledeLucyCoalPowerStationFrance,FRA,n390,46.667,4.351,Online,Coal,Unknown,0.0,37.28317769,17550.0,8,8,54.0,0.4,0.4,61301,2.1,0.12,270.0,37.28317769,old
CernavodaNuclearPowerPlantRomania,CernavodaNuclearPowerPlantRomania,ROU,n1424,44.32154151,28.05684456,Online,Nuclear,Unknown,0.0,12.34605058,423600.0,24,24,282.4,0.33,0.33,122936,0.0,0.3,1412.0,12.34605058,old
ChinonNuclearPowerPlantFrance,ChinonNuclearPowerPlantFrance,FRA,n388,47.22535633,0.16555777,Online,Nuclear,Unknown,3816.0,10.62479009,1144800.0,24,24,763.2,0.33,0.33,122936,0.0,0.3,3816.0,10.62479009,old
ChoozNuclearPowerPlantFrance,ChoozNuclearPowerPlantFrance,FRA,n228,50.09,4.789444444,Online,Nuclear,Unknown,3120.0,11.90494792,936000.0,24,24,624.0,0.33,0.33,122936,0.0,0.3,3120.0,11.90494792,old
CivauxNuclearPowerPlantFrance,CivauxNuclearPowerPlantFrance,FRA,n398,46.45633803,0.654807957,Online,Nuclear,Unknown,3122.0,10.67653869,936600.0,24,24,624.4,0.33,0.33,122936,0.0,0.3,3122.0,10.67653869,old
ClausCCCGTPowerPlantNetherlands,ClausCCCGTPowerPlantNetherlands,NLD,n628,51.153999999999996,5.9106,Online,Gas,Unknown,1280.0,54.57991861,70400.0,2,4,512.0,1.0,1.0,32151,2.7,0.06,1280.0,54.57991861,old
CofrentesNuclearPowerPlantSpain,CofrentesNuclearPowerPlantSpain,ESP,n172,39.21773165,-1.050288677,Online,Nuclear,Unknown,1092.0,11.54952609,327600.0,24,24,218.4,0.33,0.33,122936,0.0,0.3,1092.0,11.54952609,old
CombigolfeCCGTPowerPlantFrance,CombigolfeCCGTPowerPlantFrance,FRA,n508,43.445,4.9113,Online,Gas,Unknown,0.0,59.29209141,23650.0,2,4,172.0,1.0,1.0,32151,2.7,0.06,430.0,59.29209141,old
CordemaisThermalPowerStationFrance,CordemaisThermalPowerStationFrance,FRA,n368,47.275560399999996,-1.8778896330000001,Online,Coal,Unknown,2600.0,39.48732012,169000.0,8,8,520.0,0.4,0.4,61301,2.1,0.12,2600.0,39.48732012,old
CourrieresCoalPowerPlantFrance(Shutdown),CourrieresCoalPowerPlantFrance(Shutdown),FRA,n225,50.44824093,2.873997688,Online,Coal,Unknown,0.0,35.13959167,15210.0,8,8,46.8,0.4,0.4,61301,2.1,0.12,234.0,35.13959167,old
CruasNuclearPowerPlantFrance,CruasNuclearPowerPlantFrance,FRA,n467,44.63249113,4.754591201,Online,Nuclear,Unknown,0.0,11.62968134,1147200.0,24,24,764.8,0.33,0.33,122936,0.0,0.3,3824.0,11.62968134,old
DampierreNuclearPowerPlantFrance,DampierreNuclearPowerPlantFrance,FRA,n348,47.73211251,2.518515753,Online,Nuclear,Unknown,3864.0,10.68910786,1159200.0,24,24,772.8,0.33,0.33,122936,0.0,0.3,3864.0,10.68910786,old
DirinonCombustionGasPowerPlantFrance,DirinonCombustionGasPowerPlantFrance,FRA,n306,48.38977412,-4.261987209,Online,Gas,Unknown,0.0,50.45374888,9350.0,2,4,68.0,1.0,1.0,32151,2.7,0.06,170.0,50.45374888,old
DK6(Dunkerque)CCGTGasPowerPlantFrance,DK6(Dunkerque)CCGTGasPowerPlantFrance,FRA,n218,51.04816624,2.325475216,Online,Gas,Unknown,0.0,58.418710899999994,44000.0,2,4,320.0,1.0,1.0,32151,2.7,0.06,800.0,58.418710899999994,old
Doel(Electrabel)NuclearPowerPlantBelgium,Doel(Electrabel)NuclearPowerPlantBelgium,BEL,n535,51.32538229,4.259701151,Online,Nuclear,Unknown,2963.0,11.95349534,888900.0,24,24,592.6,0.33,0.33,122936,0.0,0.3,2963.0,11.95349534,old
DukovanyNuclearPowerPlantCzechRepublic,DukovanyNuclearPowerPlantCzechRepublic,CZE,n1071,49.08484515,16.14786899,Online,Nuclear,Unknown,0.0,11.29740545,528000.0,24,24,352.0,0.33,0.33,122936,0.0,0.3,1760.0,11.29740545,old
EdFLeHavreCoalPowerPlantFrance,EdFLeHavreCoalPowerPlantFrance,FRA,n269,49.47565364,0.149130821,Online,Coal,Unknown,0.0,37.71406245,129675.0,8,8,399.0,0.4,0.4,61301,2.1,0.12,1995.0,37.71406245,old
EDIPOWERCentraleTermoelettricaBrindisiPowerPlantItaly,EDIPOWERCentraleTermoelettricaBrindisiPowerPlantItaly,ITA,n739,40.64316815,17.98028469,Online,Coal,Unknown,1280.0,36.76465272,83200.0,8,8,256.0,0.4,0.4,61301,2.1,0.12,1280.0,36.76465272,old
EmileHuchetCoalPowerPlantFrance,EmileHuchetCoalPowerPlantFrance,FRA,n257,49.151,6.697,Online,Coal,Unknown,0.0,35.07492184,70590.0,8,8,217.2,0.4,0.4,61301,2.1,0.12,1086.0,35.07492184,old
EmslandNuclearPowerPlantGermany,EmslandNuclearPowerPlantGermany,DEU,n823,52.47167126,7.320413589,Online,Nuclear,Unknown,1400.0,11.67615154,420000.0,24,24,280.0,0.33,0.33,122936,0.0,0.3,1400.0,11.67615154,old
ENELBrindisiSud(FedericoII)CoalPowerPlantItaly,ENELBrindisiSud(FedericoII)CoalPowerPlantItaly,ITA,n739,40.56324249,18.03182602,Online,Coal,Unknown,0.0,39.88493884,171600.0,8,8,528.0,0.4,0.4,61301,2.1,0.12,2640.0,39.88493884,old
ENELAndreaPalladioFusinaThermalPowerPlantItaly,ENELAndreaPalladioFusinaThermalPowerPlantItaly,ITA,n653,45.43139186,12.24683762,Online,Coal,Unknown,1131.0,41.05113053,73515.0,8,8,226.2,0.4,0.4,61301,2.1,0.12,1131.0,41.05113053,old
