node,turbines
n1,1260.4626
n2,1917.3355
n3,826.9401
n4,520.725
n5,1073.1451
n6,1625.4693
n7,1082.602
n8,559.1461
n9,1478.7417
n10,979.1552
n11,597.1626
n12,1427.7155
n13,1068.6193
n14,663.6073
n15,702.9211
n16,1193.8684
n17,1164.5101
n18,1524.6515
n19,2428.3185
n20,2157.9918
n21,1200.8271
n22,925.1072
n23,2539.5298
n24,6316.7823
n25,1648.973
n26,480.7232
n27,1112.0723
n28,170.2261
n29,1049.9443
n30,270.1193
n31,368.3763
n32,754.3447
n33,1240.5864
n34,1043.317
n35,689.1549
n36,453.4606
n37,174.1245
n38,490.2669
n39,832.8905
n40,538.3056
n41,318.8833
n42,345.2047
n43,189.2017
n44,467.6752
n45,636.1498
n46,706.674
n47,969.3191
n48,232.4377
n49,407.9379
n50,564.4703
n51,907.1089
n52,954.2912
n53,617.2729
n54,815.1425
n55,592.8528
n56,513.7
n57,660.33
n58,450.9723
n59,246.5992
n60,691.4341
n61,1156.3937
n62,232.0887
n63,406.8827
n64,664.4421
n65,1126.0657
n66,578.3557
n67,738.0487
n68,350.8036
n69,845.5431
n70,1002.6493
n71,542.7056
n72,371.6553
n73,1842.8356
n74,1309.1337
n75,1206.2394
n76,405.8544
n77,1070.3234
n78,207.751
n79,679.1497
n80,460.8611
n81,473.3976
n82,643.1711
n83,341.6375
n84,413.2052
n85,1117.2622
n86,355.4536
n87,462.3002
n88,2849.051
n89,596.8659
n90,678.8392
n91,1311.0033
n92,631.778
n93,1111.5863
n94,350.0244
n95,1112.8201
n96,1146.3431
n97,305.9275
n98,1113.3169
n99,872.6276
n100,1736.6931
n101,716.4093
n102,1203.7522
n103,1267.7453
n104,554.7971
n105,796.0084
n106,298.0171
n107,1158.9934
n108,482.5439
n109,1400.3347
n110,727.3624
n111,1000.5247
n112,255.9811
n113,1004.7743
n114,536.1082
n115,357.3096
n116,312.293
n117,930.9227
n118,727.7396
n119,482.7565
n120,1326.2262
n121,557.4372
n122,133.7644
n123,2877.5555
n124,725.6962
n125,936.9337
n126,2042.7404
n127,519.862
n128,809.8408
n129,267.1018
n130,1886.6294
n131,630.7296
n132,222.3485
n133,1121.8647
n134,237.0308
n135,2049.0124
n136,836.6447
n137,177.5918
n138,678.0291
n139,413.9626
n140,1510.4884
n141,1106.3578
n142,1100.6342
n143,3268.0493
n144,2781.279
n145,832.0324
n146,776.2038
n147,971.2686
n148,936.1493
n149,272.1248
n150,2424.5238
n151,301.0731
n152,792.9668
n153,1952.7019
n154,330.4091
n155,2314.6095
n156,602.5212
n157,902.9686
n158,1671.5772
n159,2665.1261
n160,957.2968
n161,701.7665
n162,1217.6377
n163,1507.8378
n164,154.7873
n165,1237.6199
n166,760.5138
n167,827.4536
n168,3010.1939
n169,1203.3455
n170,1272.5382
n171,902.9951
n172,1499.645
n173,969.6152
n174,2935.6334
n175,465.7526
n176,1493.4188
n177,1415.7192
n178,2572.9578
n179,2994.347
n180,2203.933
n181,1023.6867
n182,1012.8959
n183,769.564
n184,1164.85
n185,2133.0246
n186,405.7492
n187,891.7007
n188,2040.8078
n189,2724.3279
n190,3645.9917
n191,1086.7147
n192,694.2902
n193,467.1159
n194,2789.4806
n195,2576.5898
n196,2114.6522
n197,1231.523
n198,231.1265
n199,2039.3462
n200,748.5426
n201,1789.7458
n202,4698.1954
n203,2054.1879
n204,1448.2445
n205,1087.4979
n206,552.1801
n207,4693.4972
n208,1278.6627
n209,3357.0746
n210,1070.2374
n211,1555.6279
n212,1265.1204
n213,1583.7095
n214,1661.6153
n215,1325.646
n216,986.3091
n217,1373.663
n218,1068.9999
n219,750.3344
n220,392.9867
n221,693.7423
n222,424.0043
n223,1561.0948
n224,864.6264
n225,408.3791
n226,790.8781
