time,windproduction
1,1965.6
2,1949.0
3,1797.9
4,1426.6
5,1138.1
6,1042.7
7,854.6
8,656.5
9,518.0
10,411.3
11,287.6
12,234.5
13,268.0
14,188.3
15,131.9
16,125.1
17,78.7
18,72.0
19,79.6
20,137.6
21,187.8
22,250.0
23,268.4
24,328.7
25,379.8
26,414.1
27,400.9
28,478.5
29,602.4
30,800.5
31,998.6
32,1219.1
33,1339.2
34,1364.9
35,1457.8
36,1656.3
37,1764.9
38,1872.6
39,1979.3
40,1980.1
41,2003.0
42,2107.4
43,2173.0
44,2262.1
45,2245.3
46,2211.5
47,2107.9
48,1940.5
49,1791.9
50,1523.1
51,1393.4
52,1370.2
53,1487.5
54,1546.4
55,1441.9
56,1446.8
57,1450.2
58,1442.5
59,1416.1
60,1432.5
61,1426.0
62,1288.5
63,1166.9
64,1269.8
65,1300.8
66,1567.2
67,2010.8
68,2340.2
69,2651.4
70,2895.8
71,3060.0
72,3162.1
73,3271.5
74,3360.2
75,3432.3
76,3446.5
77,3392.4
78,3257.3
79,3021.4
80,2772.3
81,2508.3
82,2212.8
83,1886.2
84,1714.1
85,1800.7
86,1513.4
87,1265.5
88,1369.2
89,1635.2
90,1707.4
91,1994.1
92,2034.0
93,2170.5
94,2384.7
95,2437.6
96,2359.4
97,2488.2
98,2522.7
99,2355.0
100,2247.3
101,2287.8
102,2478.4
103,2800.6
104,2887.6
105,2646.2
106,2614.8
107,2836.6
108,2935.7
109,2942.9
110,3049.6
111,2985.1
112,3041.6
113,3008.8
114,3047.5
115,3146.3
116,3201.9
117,3078.0
118,2815.2
119,2297.7
120,1870.7
121,1326.7
122,753.7
123,620.1
124,812.1
125,1212.8
126,1847.6
127,2435.4
128,2994.9
129,3211.0
130,3326.3
131,3080.8
132,2784.1
133,2479.3
134,2468.8
135,2578.6
136,2565.5
137,2253.2
138,2066.9
139,1893.5
140,1761.8
141,1503.4
142,1411.2
143,1585.2
144,1724.8
145,1932.3
146,2135.4
147,2421.2
148,2564.5
149,2356.0
150,2344.1
151,2372.5
152,2761.1
153,2853.6
154,2888.7
155,2927.5
156,2918.3
157,3052.9
158,3139.1
159,3156.3
160,3110.9
161,3144.9
162,3141.8
163,3085.5
164,2933.4
165,2703.8
166,2397.0
167,2017.9
168,1660.7
