Generator,TotalRevenue,TotalProduction,NumberofS/U,Capacity,MarginalCost,S/Ucost,FixedO&MCost,VarO&MCost,LevelizedCapitalCost,PrimaryFuel
RodenhuizeThermalPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
SalakovacHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
EdisonJesiCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
SchwarzePumpeCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
DenHagueRepowerCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
ArtousteHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
ChampcellaHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
EnecogenCCGTPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
KarlsruheRDK4sPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
PierreBeniteHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
IlavaHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
SotodeRiberaCoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
LinthLimmernPumpedStoragePowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
SalzburgNorthCHPPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
SanRoque2(Endesa)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
E.ONTavazzanoCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
FreudenauHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
LauswardECHPCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
InnerfragantPumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
GabiHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
BistricaHydroelectricPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
SiekierkiCHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
MuehlebergHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
HouratHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
DebeHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
PracanaHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
BahiadeAlgecirasCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
WilmersdorfCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
GrandeDixenceHydroelectricPowerSchemeSwitzerland,0,0,0,0,0,0,0,0,0,0
RoznowHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
MostarHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
KlingenbergCHPCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
ZielonaGoraCCGTPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
IlarionasHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
ArgentatHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
MazetHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
E.ONLivornoFerrarisCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
BelchatowCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
Piva(Mratinje)HydroelectricPowerPlantMontenegro,0,0,0,0,0,0,0,0,0,0
MintiaDevaPowerStationRomania,0,0,0,0,0,0,0,0,0,0
SalamondeHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
PaksNuclearPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
ClauxHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GersteinwerkCCGTPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
TeichHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
MuehlbergNuclearPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
KastrakiHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
ISABPrioloGargalloIGCCPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
Doel(Electrabel)NuclearPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
KembsHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
SaucelleHydroelectricPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
MaasstroomCCGTPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
FuhrenHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
GabcikovoHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
KrskoNuclearPowerReactorSlovenia,0,0,0,0,0,0,0,0,0,0
EmileHuchetCoalPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
EdisonPorcariCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
RoCA3CHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
BoucaHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
JaworznoIIICHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
Irsching4(UlrichHartmann)CCGTPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
AschachHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
BielkowoHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
Besos4(SantAdria)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
EscatronPeakerCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
UlezHydroelectricPowerStationAlbania,0,0,0,0,0,0,0,0,0,0
DalesicePumpedStorageHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
SalonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
ChvaleticeCoalPowerPlantCzech,0,0,0,0,0,0,0,0,0,0
CofrentesNuclearPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
EniRavennaCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
SucanyHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
ZermeiggernHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
Diemen33CCGTCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
RijnmondCCGTpowerplantNetherland,0,0,0,0,0,0,0,0,0,0
JarugaHydroelectricPowerPlantCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
PaternionHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
BitolaCoalPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
SaultBrenazHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
SantaBarbaraCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
GrangentHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
EdisonVerzuoloGeverCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
KomoranyCHPCioalPowerPlantCzech,0,0,0,0,0,0,0,0,0,0
ENELPortoCorsini(Teodora)CCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
VisegradHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
DistomoCCGTHeatandPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
MelkHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
