fromNode,toNode,X,Y,limit,length
n344,n559,0.01203,83.12551953,1260,51.22704096
n344,n561,0.01598,62.57822278,1490,34.00239748
n344,n336,0.013212165,75.68782381,15000,25.46709442
n344,n566,0.01377,72.62164125,1320,34.75555256
n344,n356,0.02112,47.34848485,15000,61.62835775
n344,n327,0.004579982,218.3414627,15000,28.87908054
n344,n350,0.039130289,25.55565098,15000,45.41977418
n345,n362,0.15076,6.633059167,15000,91.7208714
n345,n330,0.08952,11.17068811,15000,59.07913435
n345,n353,0.0744,13.44086022,15000,48.30043796
n345,n338,0.1245,8.032128514,15000,74.6608415
n345,n341,0.06672,14.98800959,15000,42.72385569
n346,n334,0.099,10.1010101,15000,68.30480617
n346,n350,0.07146,13.99384271,15000,48.89563842
n347,n386,0.14582,6.857769853,15000,120.9105521
n347,n352,0.00557,179.5332136,15000,20.95744521
n347,n333,0.01543,64.808814,15000,28.01952634
n347,n396,0.1865,5.361930295,15000,158.920323
n340,n313,0.03624,27.59381898,15000,81.43887288
n340,n364,0.04288,23.32089552,15000,97.8044327
n340,n326,0.05007,19.97203915,15000,37.32865258
n340,n349,0.04932,20.2757502,15000,36.25310762
n340,n342,0.01585,63.09148265,15000,19.51910001
n341,n330,0.03805,26.28120894,15000,18.4081644
n342,n358,0.05017,19.93223042,15000,42.53965138
n343,n337,0.05243,19.07304978,15000,32.95545173
n343,n331,0.01978,50.55611729,15000,24.68606172
n343,n321,0.06137,16.29460649,15000,44.83678566
n343,n370,0.046,21.73913043,15000,68.03598394
n343,n328,0.0358,27.93296089,15000,132.6070012
n343,n359,0.01109,90.17132552,15000,50.45709848
n348,n313,0.010812766,92.4832743,15000,69.89841016
n348,n335,0.03759,26.6028199,15000,31.20704871
n348,n329,0.00843,118.623962,15000,36.71027032
n348,n379,0.14433,6.92856648,15000,114.0949399
n348,n378,0.018352958,54.48712842,15000,84.5851929
n349,n364,0.08099,12.34720336,15000,61.57066985
n298,n278,0.01143,87.48906387,15000,39.81785595
n298,n308,0.00515,194.1747573,15000,24.72668116
n298,n302,0.04102,24.37835202,15000,156.3704493
n299,n310,0.02803,35.67606136,15000,13.84322414
n296,n329,0.01243,80.45052293,15000,65.83742187
n296,n313,0.01581,63.25110689,15000,56.076597
n296,n333,0.009934929,100.654976,15000,66.73928858
n296,n289,0.02591,38.59513701,15000,32.18840506
n296,n282,0.01244,80.38585209,15000,44.18074262
n296,n292,0.01537,65.06180872,15000,20.49627193
n297,n291,0.01586,63.0517024,15000,19.72940198
n294,n295,0.13086,7.641754547,15000,79.8046337
n294,n282,0.12774,7.82840144,15000,78.7943264
n294,n321,0.06199,16.13163413,15000,47.3987578
n294,n276,0.04237,23.60160491,15000,33.13101982
n295,n269,0.05715,17.49781277,15000,42.89041225
n295,n305,0.0833,12.00480192,15000,55.55258342
n295,n332,0.08714,11.47578609,15000,69.78791738
n293,n282,0.01654,60.45949214,15000,24.77596582
n290,n283,0.05026,19.896538,15000,32.21450281
n290,n311,0.06392,15.64455569,15000,45.66401348
n291,n275,0.0227,44.05286344,15000,29.31727266
n270,n259,0.06358,15.72821642,15000,38.03680492
n270,n284,0.03847,25.99428126,15000,25.97298841
n271,n267,0.04119,24.27773731,15000,25.64083594
n272,n289,0.02149,46.53327129,15000,34.72584531
n272,n279,0.02892,34.57814661,15000,52.28902133
n272,n274,0.010861694,92.06666709,15000,24.38418378
n272,n256,0.08825,11.33144476,15000,31.91596089
n272,n264,0.003029342,330.1046779,15000,26.56902965
n273,n286,0.01397518,71.55542725,15000,30.78916451
n274,n282,0.005531567,180.7806062,15000,24.97314607
n274,n264,0.01093,91.49130833,15000,26.26705857
n275,n282,0.0227,44.05286344,1000,15.80225829
n276,n261,0.0366,27.32240437,15000,30.09066957
n277,n258,0.00802,124.6882793,15000,35.84957055
n277,n282,0.0145,68.96551724,15000,49.00301974
n278,n308,0.08067,12.39618198,15000,61.35898257
n278,n283,0.032311041,30.94917296,15000,79.54387626
n278,n255,0.004607911,217.0180571,15000,42.62553823
n278,n254,0.05267,18.98614012,15000,44.77244692
n278,n286,0.0646,15.47987616,15000,106.4556058
n279,n302,0.0304,32.89473684,15000,67.72445544
n108,n119,0.07594,13.16829076,15000,35.50485311
n108,n104,0.04456,22.44165171,15000,25.82312061
n109,n116,0.03121,32.0410125,15000,39.85777711
n109,n142,0.12049,8.299443937,15000,96.46797619
n109,n105,0.04398,22.737608,15000,23.25731915
n102,n110,0.05339,18.73009927,15000,32.37088674
n103,n128,0.03647,27.41979709,15000,64.10960474
n103,n90,0.06485,15.42020046,15000,50.43663358
n100,n101,0.08493,11.77440245,15000,55.61307098
n101,n111,0.05131,19.48937829,15000,38.03049181
n101,n122,0.0295,33.89830508,15000,72.45168873
n101,n532,0.0424,23.58490566,1650,96.78056765
n106,n115,0.0319,31.34796238,15000,27.65529431
n106,n96,0.06157,16.24167614,15000,47.38433758
n107,n75,0.07719,12.95504599,15000,106.412771
n107,n119,0.013447529,74.3631019,15000,26.13101824
n107,n131,0.04107,24.348673,15000,63.69184993
n107,n97,0.03857,25.92688618,15000,91.98790629
n107,n136,0.03916,25.53626149,15000,83.67262203
n104,n120,0.04252,23.51834431,15000,38.94193744
n104,n144,0.02618,38.19709702,15000,155.2270794
n104,n97,0.03486,28.68617326,15000,39.18776873
n104,n110,0.03123,32.02049312,15000,35.21860759
n105,n146,0.08242,12.13297743,15000,176.6861374
n105,n123,0.10867,9.202171713,15000,200.1731246
n105,n140,0.04299,23.26122354,15000,105.9839735
n105,n51,0.02751,36.35041803,15000,143.4471141
n105,n99,0.030997486,32.26068102,15000,42.17845129
n105,n114,0.0701,14.26533524,15000,87.00704753
n105,n63,0.23205,4.309416074,15000,160.249591
n105,n116,0.01375,72.72727273,15000,32.44792529
n105,n69,0.019694913,50.77453199,15000,136.4264082
n105,n92,0.21646,4.619791185,15000,128.7884156
n105,n95,0.01991,50.22601708,15000,48.1531732
n1212,n1070,0.12648,7.906388362,318,50.45447987
n1212,n1215,0.03517,28.43332386,15000,40.65676297
n1213,n1211,0.02165,46.18937644,15000,33.98050835
n1213,n1214,0.006265733,159.5982419,15000,18.67705217
n1213,n1215,0.02746,36.41660597,15000,52.98431347
n99,n88,0.060021508,16.6606944,15000,78.34121168
