node,cells
n1,1183.0631
n2,1386.979
n3,776.1613
n4,488.7495
n5,1007.2479
n6,1061.9043
n7,1016.1241
n8,524.8114
n9,1387.9386
n10,867.5134
n11,560.4934
n12,877.24
n13,1003
n14,622.858
n15,659.7578
n16,940.9252
n17,964.8678
n18,1431.0293
n19,2279.2061
n20,1617.1477
n21,1024.9802
n22,485.4545
n23,2383.5883
n24,5136.7488
n25,1350.9601
n26,305.3362
n27,913.6204
n28,93.1925
n29,842.8314
n30,213.4359
n31,345.7559
n32,681.2281
n33,1124.7878
n34,979.2514
n35,485.0634
n36,270.9727
n37,122.5796
n38,405.9837
n39,672.0321
n40,505.2506
n41,299.302
n42,324.0072
n43,136.6218
n44,232.54
n45,542.7946
n46,663.2802
n47,909.7974
n48,218.1647
n49,382.8882
n50,529.8086
n51,851.4073
n52,895.6923
n53,579.3689
n54,765.0882
n55,414.344
n56,482.1559
n57,619.782
n58,423.2801
n59,231.4566
n60,648.9762
n61,1085.3846
n62,217.8372
n63,381.8978
n64,623.6416
n65,1056.9189
n66,542.8414
n67,692.7284
n68,329.2623
n69,793.622
n70,941.081
n71,509.3804
n72,348.8336
n73,1729.6751
n74,970.7172
n75,1132.1695
n76,380.9327
n77,1004.5995
n78,194.9939
n79,637.4461
n80,432.5617
n81,444.3284
n82,603.6768
n83,320.659
n84,387.8321
n85,1048.656
n86,333.6268
n87,433.9123
n88,2674.1032
n89,560.2149
n90,637.1546
n91,1230.5003
n92,592.9833
n93,1043.3286
n94,328.5309
n95,1044.4867
n96,1075.9512
n97,287.1418
n98,1044.953
n99,819.0434
n100,1545.6462
n101,672.4177
n102,1129.835
n103,1189.8986
n104,520.7294
n105,747.129
n106,279.7171
n107,1087.8247
n108,452.913
n109,1314.3462
n110,682.6982
n111,756.6899
n112,240.2624
n113,943.0755
n114,503.1882
n115,335.3688
n116,293.1164
n117,873.7588
n118,683.0522
n119,453.1125
n120,1244.7885
n121,523.2074
n122,125.5505
n123,2700.8574
n124,681.1343
n125,879.4007
n126,1245.0538
n127,487.9395
n128,760.112
n129,236.7792
n130,1185.4646
n131,591.9993
n132,208.6951
n133,1052.9759
n134,166.8514
n135,1923.1914
n136,785.27
n137,152.7956
n138,636.3943
n139,333.0294
n140,1417.7359
n141,775.2596
n142,1033.049
n143,3067.3727
n144,2610.4928
n145,780.9409
n146,728.5405
n147,911.6272
n148,878.6645
n149,255.4148
n150,1888.7014
n151,282.5855
n152,744.2741
n153,1832.795
n154,310.1201
n155,2172.4794
n156,565.523
n157,847.5212
n158,1568.933
n159,1950.0681
n160,898.5133
n161,658.674
n162,1142.8679
n163,1415.2481
n164,145.2825
n165,1161.6231
n166,713.8139
n167,776.6433
n168,2825.351
n169,1129.4532
n170,892.1984
n171,847.5461
n172,1407.5584
n173,910.0754
n174,2755.369
n175,437.1528
n176,1401.7144
n177,1013.4312
n178,2414.9637
n179,2810.4772
n180,2068.5991
n181,960.8266
n182,950.6983
n183,722.3084
n184,1093.3217
n185,2002.0449
n186,380.8339
n187,836.9453
n188,1915.4906
n189,1939.4838
n190,3422.1072
n191,1019.9842
n192,651.6569
n193,438.4324
n194,2618.1908
n195,2418.3727
n196,1984.8006
n197,951.5822
n198,216.934
n199,1914.1188
n200,702.5779
n201,1435.4875
n202,3659.5533
n203,1928.0492
n204,1359.3141
n205,1020.7194
n206,518.2731
n207,4311.4308
n208,1200.1455
n209,2977.6334
n210,964.8767
n211,1407.0637
n212,1174.4479
n213,1433.783
n214,820.0914
n215,1191.7836
n216,860.808
n217,581.1058
n218,381.5499
