time,solarproduction
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,3.0
7,24.0
8,59.0
9,96.0
10,108.0
11,139.0
12,184.0
13,218.0
14,236.0
15,253.0
16,235.0
17,193.0
18,141.0
19,88.0
20,41.0
21,21.0
22,4.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,7.0
31,27.0
32,57.0
33,91.0
34,136.0
35,189.0
36,230.0
37,265.0
38,283.0
39,258.0
40,179.0
41,101.0
42,48.0
43,36.0
44,26.0
45,11.0
46,1.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,5.0
55,27.0
56,65.0
57,107.0
58,140.0
59,147.0
60,141.0
61,141.0
62,145.0
63,138.0
64,117.0
65,100.0
66,76.0
67,47.0
68,27.0
69,8.0
70,1.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,4.0
79,18.0
80,33.0
81,53.0
82,76.0
83,95.0
84,106.0
85,126.0
86,156.0
87,174.0
88,162.0
89,148.0
90,126.0
91,93.0
92,57.0
93,23.0
94,4.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,8.0
103,27.0
104,61.0
105,112.0
106,156.0
107,183.0
108,217.0
109,246.0
110,256.0
111,264.0
112,267.0
113,241.0
114,202.0
115,140.0
116,74.0
117,26.0
118,4.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,6.0
127,28.0
128,73.0
129,136.0
130,171.0
131,173.0
132,159.0
133,164.0
134,160.0
135,151.0
136,157.0
137,133.0
138,102.0
139,79.0
140,41.0
141,16.0
142,3.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,6.0
151,21.0
152,37.0
153,70.0
154,102.0
155,121.0
156,158.0
157,183.0
158,178.0
159,152.0
160,127.0
161,115.0
162,87.0
163,56.0
164,30.0
165,13.0
166,2.0
167,0.0
168,0.0
